ColorID,ACCode,LValue,AValue,BValue,RGB
13435,"C65.122.656",7.1335953000000003e+01,1.3703670000000001e+01,1.1400107999999999e+01,"CFA699"
13436,"C20.120.652",7.0926379999999995e+01,1.5299801000000000e+01,9.9630270000000003e+00,"D0A39B"
13439,"P65.195.629",6.8693520000000007e+01,-1.8636911999999999e+01,-8.6411040000000003e+00,"74B2B5"
13440,"N90.185.642",6.9981195999999997e+01,-2.0144604999999999e+01,-4.8591959999999998e+00,"79B6B2"
13441,"N10.193.656",7.1310451000000000e+01,-2.2970230000000001e+01,-6.3493500000000003e-01,"7BBBAE"
13446,"G75.275.680",7.3703784999999996e+01,-6.7697120000000002e+00,3.4033149000000002e+01,"BFB775"
13447,"G25.272.680",7.3756981999999994e+01,-2.2668640000000000e+00,3.3842770999999999e+01,"C7B576"
13449,"A63.140.596",6.5395099999999999e+01,2.1319651000000000e+01,3.5978289999999999e+00,"C69198"
13458,"E58.262.645",7.0273008000000004e+01,1.1872223999999999e+01,3.0643284000000001e+01,"D2A374"
13459,"E02.262.630",6.8795123000000004e+01,1.6404565000000002e+01,2.8808733000000000e+01,"D49C74"
13460,"D65.255.629",6.8641639999999995e+01,1.9094120000000000e+01,2.7152712999999999e+01,"D79A76"
13462,"C93.212.617",6.7418147000000005e+01,2.0927088999999999e+01,2.0250190000000000e+01,"D49680"
13465,"R73.271.582",6.3955024999999999e+01,-1.3651856000000000e+01,-2.0236236999999999e+01,"63A4BD"
13475,"L59.260.603",6.6025632999999999e+01,-2.9499597999999999e+01,1.1385192000000000e+01,"6BAE8A"
13476,"K91.276.603",6.6019675000000007e+01,-2.8765373000000000e+01,1.7505510999999998e+01,"73AE7F"
13478,"J49.269.617",6.7477332000000004e+01,-1.9884547000000001e+01,2.5920670999999999e+01,"91AD74"
13479,"H78.282.621",6.7897886000000000e+01,-1.5261396000000000e+01,3.0292387999999999e+01,"9EAC6D"
13481,"G92.326.641",6.9855878000000004e+01,-9.4988539999999997e+00,3.8359347999999997e+01,"B1AE63"
13482,"G68.336.656",7.1354012999999995e+01,-7.3760180000000002e+00,4.0554715000000002e+01,"BAB162"
13483,"G59.370.667",7.2471604999999997e+01,-7.0993519999999997e+00,4.5344715000000001e+01,"C0B45C"
13485,"B47.216.552",6.0983998000000000e+01,2.9029353000000000e+01,1.1816432000000001e+01,"CA7F7F"
13486,"A77.204.548",6.0569465999999998e+01,2.9309956000000000e+01,6.0568429999999998e+00,"C67E87"
13488,"Z30.182.555",6.1210149000000001e+01,2.6750793000000002e+01,-4.9141649999999997e+00,"BE839C"
13495,"F66.341.667",7.2462281000000004e+01,3.6110570000000002e+00,4.1492980000000003e+01,"D0AD64"
13498,"E40.333.624",6.8123748000000006e+01,1.6627920000000000e+01,3.7564331000000003e+01,"D69A62"
13499,"D99.333.608",6.6589938000000004e+01,2.0658066999999999e+01,3.5728833999999999e+01,"D79362"
13500,"D64.330.587",6.4404533000000001e+01,2.3854222000000000e+01,3.3592365000000001e+01,"D48B60"
13501,"D26.300.574",6.3183987999999999e+01,2.5269136000000000e+01,2.9006053999999999e+01,"D18766"
13503,"C45.261.566",6.2342624000000001e+01,2.8563419000000000e+01,2.1350079999999998e+01,"D18271"
13504,"B90.230.553",6.1007230999999997e+01,2.8452100999999999e+01,1.5500310000000001e+01,"CA7F78"
13506,"Q63.364.549",6.0626475999999997e+01,-2.5590961000000000e+01,-2.1085318000000001e+01,"1CA0B5"
13507,"Q05.348.546",6.0398263000000000e+01,-2.8060828000000001e+01,-1.6771061000000000e+01,"1FA0AD"
